supplier_id,supplier_name,contact_email,phone,address,city,state
1,"Patterson, Williams and Chapman",jackie97@parker.com,+1-996-742-0075x339,615 Dean Causeway Suite 819,Timothyhaven,NV
2,"Morgan, Edwards and Henry",rodriguezamy@rangel.com,(311)477-6760,83399 Ernest Junctions,South Ethanville,NV
3,Robertson Inc,poolevictoria@mercer.com,(419)758-6929,83802 Edwards Mountains,Port Lori,OK
4,Turner Group,ccook@cox-martin.biz,485-324-9838x97404,9781 Shaw Vista,Port Linda,FL
5,"Key, Wright and Cantu",lisa39@long.org,(530)746-0969x764,22870 Romero Square,Lake Lauraland,ND
6,"Lee, Schmitt and Stout",candacerobinson@mcmillan-kelly.com,632-253-8507x5700,249 Lindsey Land,North Jennifer,LA
7,Harper-Green,bross@palmer.net,3109058223,843 Brenda Corners,Toddmouth,FL
8,"Ross, Harvey and Edwards",bowersamy@reed.biz,(427)321-4993x9010,00260 Dorsey Roads,Cookhaven,KS
9,Rivera-Hunter,shannonliu@stewart.com,(401)743-4419,643 Monica Square Suite 421,Leeton,NY
10,"Matthews, Russell and Combs",asummers@patel.com,241-715-1903,8437 Kimberly Pines,North Michaelbury,MN
11,"King, Carter and Murray",nancyobrien@price.com,+1-970-612-6767x50284,42604 Nichols Burgs Apt. 489,Shellyburgh,IN
12,Jordan Ltd,rgreen@miller-kelly.com,(843)976-4360,18360 Jonathan Viaduct Suite 316,East Brittneyfurt,FM
13,"Thompson, Molina and Ellis",smithjeffrey@owens.com,9148648392,6393 Orr Inlet Suite 700,Ronaldmouth,MH
14,"Black, Wilson and Jackson",patricia33@fisher.com,2852108461,188 Myers Coves Apt. 331,Hortonburgh,TN
15,"Patel, Knight and Ross",elizabeth82@reynolds.biz,(828)974-4293x450,29658 Stevens Landing Suite 236,West Mark,IL
